Station,Centrality
Philadelphia,0.0006369426751592356
Pennsauken,0.0012738853503184713
Cherry Hill,0.001910828025477707
Lindenwold,0.005095541401273885
Atco,0.003184713375796178
Hammonton,0.0025477707006369425
Egg Harbor City,0.001910828025477707
Absecon,0.0012738853503184713
Atlantic City Rail Terminal,0.0006369426751592356
Hoboken,0.3159235668789809
Secaucus Lower Lvl,0.3292993630573248
Rutherford,0.13184713375796178
Wesmont,0.12611464968152866
Garfield,0.12038216560509553
Plauderville,0.11464968152866241
Broadway Fair Lawn,0.10891719745222929
Radburn Fair Lawn,0.10318471337579617
Glen Rock Boro Hall,0.09745222929936305
Ridgewood,0.09171974522292993
Ho-Ho-Kus,0.08598726114649681
Waldwick,0.08025477707006369
Allendale,0.07452229299363057
Ramsey Main St,0.06878980891719745
Ramsey Route 17,0.06305732484076433
Mahwah,0.057324840764331204
Suffern,0.051592356687898085
Sloatsburg,0.045859872611464965
Tuxedo,0.040127388535031845
Harriman,0.034394904458598725
Salisbury Mills-Cornwall,0.028662420382165602
Campbell Hall,0.022929936305732482
Middletown NY,0.017197452229299363
Otisville,0.011464968152866241
Port Jervis,0.005732484076433121
Newark Broad Street,0.5009554140127388
East Orange,0.37133757961783437
Brick Church,0.393312101910828
Orange,0.32101910828025476
Highland Avenue,0.3203821656050955
Mountain Station,0.3197452229299363
South Orange,0.3194267515923567
Maplewood,0.3197452229299363
Millburn,0.3417197452229299
Short Hills,0.2907643312101911
Summit,0.24681528662420382
New Providence,0.14904458598726114
Murray Hill,0.1445859872611465
Berkeley Heights,0.14012738853503184
Gillette,0.1356687898089172
Stirling,0.13503184713375796
Millington,0.040127388535031845
Lyons,0.034394904458598725
Basking Ridge,0.028662420382165602
Bernardsville,0.022929936305732482
Far Hills,0.017197452229299363
Peapack,0.011464968152866241
Gladstone,0.005732484076433121
Kingsland,0.045859872611464965
Lyndhurst,0.040127388535031845
Delawanna,0.034394904458598725
Passaic,0.028662420382165602
Clifton,0.022929936305732482
Paterson,0.017197452229299363
Hawthorne,0.011464968152866241
Glen Rock Main Line,0.005732484076433121
Secaucus Upper Lvl,0.34267515923566877
Watsessing Avenue,0.1592356687898089
Bloomfield,0.15605095541401273
Glen Ridge,0.15286624203821655
Bay Street,0.14968152866242038
Walnut Street,0.1464968152866242
Watchung Avenue,0.14331210191082802
Upper Montclair,0.14044585987261146
Mountain Avenue,0.13853503184713375
Montclair Heights,0.13789808917197452
Little Falls,0.13821656050955414
Wayne-Route 23,0.16019108280254776
Mountain View,0.08789808917197452
Lincoln Park,0.08726114649681528
Towaco,0.08662420382165605
Boonton,0.08630573248407643
Mountain Lakes,0.08662420382165605
Denville,0.15828025477707006
Dover,0.12484076433121019
Mount Arlington,0.005732484076433121
Lake Hopatcong,0.022929936305732482
Netcong,0.017197452229299363
Mount Olive,0.011464968152866241
Hackettstown,0.005732484076433121
Chatham,0.12547770700636943
Madison,0.12229299363057325
Convent Station,0.11910828025477706
Morristown,0.11592356687898088
Morris Plains,0.1127388535031847
Mount Tabor,0.10955414012738852
Newark Penn Station,0.36050955414012736
Newark Airport,0.2770700636942675
North Elizabeth,0.27388535031847133
Elizabeth,0.27070063694267515
Linden,0.267515923566879
Rahway,0.278343949044586
Avenel,0.1535031847133758
Woodbridge,0.1554140127388535
Perth Amboy,0.06305732484076433
South Amboy,0.057324840764331204
Aberdeen-Matawan,0.051592356687898085
Allenhurst,0.045859872611464965
Asbury Park,0.040127388535031845
Bradley Beach,0.034394904458598725
Belmar,0.028662420382165602
Long Branch,0.022929936305732482
Manasquan,0.017197452229299363
Point Pleasant Beach,0.011464968152866241
Bay Head,0.005732484076433121
New York Penn Station,0.005732484076433121
Metropark,0.1356687898089172
Metuchen,0.13121019108280255
Edison,0.1267515923566879
New Brunswick,0.12229299363057325
Jersey Avenue,0.11783439490445859
Princeton Junction,0.11464968152866241
Hamilton,0.011464968152866241
Trenton,0.005732484076433121
Wood Ridge,0.16687898089171974
Teterboro,0.1624203821656051
Essex Street,0.15796178343949044
Anderson Street,0.1535031847133758
New Bridge Landing,0.14904458598726114
River Edge,0.1445859872611465
Oradell,0.14012738853503184
Emerson,0.1356687898089172
Westwood,0.13121019108280255
Hillsdale,0.1267515923566879
Woodcliff Lake,0.12229299363057325
Park Ridge,0.11783439490445859
Montvale,0.11337579617834394
Pearl River,0.10891719745222929
Nanuet,0.10445859872611464
Spring Valley,0.09936305732484076
Princeton,0.005732484076433121
Union,0.10318471337579617
Roselle Park,0.09745222929936305
Cranford,0.09171974522292993
Garwood,0.08598726114649681
Westfield,0.08025477707006369
Fanwood,0.07452229299363057
Netherwood,0.06878980891719745
Plainfield,0.06305732484076433
Dunellen,0.057324840764331204
Bound Brook,0.051592356687898085
Bridgewater,0.045859872611464965
Somerville,0.040127388535031845
Raritan,0.034394904458598725
North Branch,0.028662420382165602
White House,0.022929936305732482
Lebanon,0.017197452229299363
Annandale,0.011464968152866241
High Bridge,0.005732484076433121
