Station,Closseness
Philadelphia,0.01132342533616419
Pennsauken,0.01405666593454865
Cherry Hill,0.016985138004246284
Lindenwold,0.019411586290567183
Atco,0.020382165605095544
Hammonton,0.019411586290567183
Egg Harbor City,0.016985138004246284
Absecon,0.01405666593454865
Atlantic City Rail Terminal,0.01132342533616419
Hoboken,0.08314417375856913
Secaucus Lower Lvl,0.08059845382257597
Rutherford,0.07611343347893015
Wesmont,0.07210125248934314
Garfield,0.06849088049429504
Plauderville,0.0652248357021407
Broadway Fair Lawn,0.06225610154702319
Radburn Fair Lawn,0.059545848726794276
Glen Rock Boro Hall,0.057061727430216355
Ridgewood,0.0547765699123985
Ho-Ho-Kus,0.052331554226136154
Waldwick,0.050059534828445995
Allendale,0.04794361634600652
Ramsey Main St,0.04596900282269489
Ramsey Route 17,0.04412268297497754
Mahwah,0.04239317033329656
Suffern,0.04077028742457013
Sloatsburg,0.03924498553217411
Tuxedo,0.03780919337855799
Harriman,0.03645568946090384
Salisbury Mills-Cornwall,0.03517799383935425
Campbell Hall,0.03397027600849257
Middletown NY,0.032827276133383286
Otisville,0.03174423744411354
Port Jervis,0.030716847989185156
Newark Broad Street,0.08324339114968914
East Orange,0.07949625274466039
Brick Church,0.07607193215206051
Orange,0.07293043573804442
Highland Avenue,0.07003811424040109
Mountain Station,0.06736645271215788
South Orange,0.06489112724040882
Maplewood,0.06259126225521713
Millburn,0.06044884036693197
Short Hills,0.058448229395424794
Summit,0.05657580031098094
New Providence,0.05384636185522153
Murray Hill,0.05133036187155224
Berkeley Heights,0.04900453936314681
Gillette,0.04684886620781698
Stirling,0.04484600564669849
Millington,0.04298087602183579
Lyons,0.04124029664997901
Basking Ridge,0.03961269834380437
Bernardsville,0.038087885221643185
Far Hills,0.03665683751100341
Peapack,0.03531154734671703
Gladstone,0.03404488129987286
Kingsland,0.07549562963575703
Lyndhurst,0.07154662747019436
Delawanna,0.06799021616319638
Passaic,0.06477062375435422
Clifton,0.06184216470163075
Paterson,0.05916705834049152
Hawthorne,0.056713790067836986
Glen Rock Main Line,0.05445586399956245
Secaucus Upper Lvl,0.08304519259933274
Watsessing Avenue,0.07842379065029735
Bloomfield,0.07413173409504728
Glen Ridge,0.07028510003369218
Bay Street,0.06681797105693438
Walnut Street,0.06367682499629347
Watchung Avenue,0.06081775220875282
Upper Montclair,0.058204390307417184
Mountain Avenue,0.05634730354074273
Montclair Heights,0.05460505814750645
Little Falls,0.05296732102007554
Wayne-Route 23,0.051424962612192766
Mountain View,0.04996988666435494
Lincoln Park,0.048594888041406825
Towaco,0.04729353341250135
Boonton,0.046060060603129414
Mountain Lakes,0.044889293296936604
Denville,0.04377656842387166
Dover,0.04197229950868802
Mount Arlington,0.040241108614617535
Lake Hopatcong,0.04027595945926068
Netcong,0.03867921363096174
Mount Olive,0.03718441459671615
Hackettstown,0.035782488732208
Chatham,0.0543074828987462
Madison,0.052214043251077466
Convent Station,0.050276008492569
Morristown,0.048476693386684845
Morris Plains,0.046801718740985904
Mount Tabor,0.04523862631870266
Newark Penn Station,0.08032004810989003
Newark Airport,0.07615498011292521
North Elizabeth,0.07232551766038309
Elizabeth,0.0687948341059561
Linden,0.06553119942079802
Rahway,0.06250713421455152
Avenel,0.0592424303893329
Woodbridge,0.05625642079309636
Perth Amboy,0.05351588936205561
South Amboy,0.05099266212239729
Aberdeen-Matawan,0.0486626869783324
Allenhurst,0.04650530785562633
Asbury Park,0.04450268694318309
Bradley Beach,0.04263934094342267
Belmar,0.04090176592403371
Long Branch,0.03927813163481953
Manasquan,0.03775803073528524
Point Pleasant Beach,0.03633227176220807
Bay Head,0.034992707190087534
New York Penn Station,0.07846789851905454
Metropark,0.05904186354925052
Metuchen,0.055895802711089335
Edison,0.05302771705316571
New Brunswick,0.050403151577629694
Jersey Avenue,0.04799309376225627
Princeton Junction,0.04577294080278182
Hamilton,0.04369430741211368
Trenton,0.04177123460086197
Wood Ridge,0.07549562963575703
Teterboro,0.07092827837665429
Essex Street,0.06681797105693438
Anderson Street,0.06310082477018497
New Bridge Landing,0.059724282348835186
River Edge,0.056644711151798206
Oradell,0.0538255877958638
Emerson,0.051236108544575464
Westwood,0.048850113293725135
Hillsdale,0.046645243586385485
Woodcliff Lake,0.04460227735514034
Park Ridge,0.042704598581842355
Montvale,0.040937770999671066
Pearl River,0.03928919278143593
Nanuet,0.03774781481787851
Spring Valley,0.03630390933304163
Princeton,0.04366695573298247
Union,0.07541401273885351
Roselle Park,0.0710004700085898
Cranford,0.06701053005133477
Garwood,0.06338751638658745
Westfield,0.06008437707445262
Fanwood,0.057061727430216355
Netherwood,0.05428635158244318
Plainfield,0.05173004210859436
Dunellen,0.04936869199111075
Bound Brook,0.047181577127791335
Bridgewater,0.045150784325850804
Somerville,0.043260751493605885
Raritan,0.041497895171588035
North Branch,0.03985030664578092
White House,0.03830750235224574
Lebanon,0.03686021758702219
Annandale,0.0355002350042949
High Bridge,0.03422024124770149
